State/Uts,"No of TB - Diabetes-TB patients with known DM status, of notified)-Public","Percentage  of TB - Diabetes-TB patients with known DM status,of notified)-Public","No of TB - Diabetes-TB patients with known DM status, of notified)-Private","Percentage  of TB - Diabetes-TB patients with known DM status, of notified)-Private","No of TB - Diabetes-TB patients with known DM status,of notified)-Total","Percentage of TB - Diabetes-TB patients with known DM status,  of notified)-Total","No of TB - Diabetes-Patients diagnosed among tested,of those with known DM status)-Public","Percentage of TB - Diabetes- Patients diagnosed among tested,of those with known DM status)-Public","No of TB - Diabetes- Patients diagnosed among tested, of those with known DM status)-Private","Percentage  of TB - Diabetes-Patients diagnosed among tested,  of those with known DM status)-Private","No of TB - Diabetes-Patients diagnosed among tested, of those with known DM status)-Total","Percentage  of TB - Diabetes-  Patients diagnosed among tested, of those with known DM status)-Total","No of TB - Diabetes- patients initiated on Anti-diabetic treatment, of TB-DM)-Public","Percentage of TB - Diabetes- patients initiated on Anti-diabetic treatment, of TB-DM)-Public","No of TB - Diabetes- patients initiated on Anti-diabetic treatment, of TB-DM)-Private","Percentage of TB - Diabetes- patients initiated on Anti-diabetic treatment, of TB-DM)-Private","No of TB - Diabetes- patients initiated on Anti-diabetic treatment, of TB-DM)0Total","Percentage of TB - Diabetes- patients initiated on Anti-diabetic treatment,of TB-DM)0Total"
Tripura,21.0,94.08393289992641,3519.234848443984,81.7648446545792,21.0,94.02658059371045,150.0892452564416,15.664593813233493,0.0,16.01957560960621,5.0,14.46665653103371,542.1255975829615,38.70032108926264,0.0,2.918978458368764,4.0,38.957245224867364
Kerala,37607.55325514447,94.58725394218149,2.0,87.89063330999423,36769.55239604668,92.2499169786008,1672.123706800041,32.42304898721452,478.2426504569214,30.98419884613204,6019.706634678443,32.6,2900.2273915534593,62.7630962260123,0.0,58.93942312694472,2251.259291711541,63.006267957173144
Jharkhand,1042.5841178185801,89.41927817118973,2.0,83.22686320937153,95999.1793556062,89.00666142132441,220.60493390225702,6.325401556557615,979.1740172456854,7.232377877636923,5.0,5.288646640367985,3796.996810772194,52.78352136474209,490.4353885695689,45.15407265092765,3054.5280326627108,53.82321325875465
Maharashtra,85072.28705802928,97.90043501732934,71935.62500379377,97.01601754347084,277846.67723454,97.29141353717839,8180.30986550283,6.091078591900882,3558.190220369274,7.964834994390401,16966.386179344572,7.280112696409972,2935.458384167349,70.49573940794747,2566.620978540043,58.12522297058322,9763.150594856568,65.3169140117341
Maharashtra,105314.86630938016,97.02448960389698,72511.92866702913,94.50160586938424,256714.87435050026,96.07448354524877,7874.649685734968,7.497031797658968,5852.416473937027,6.130050136709506,14008.426419770554,5.917478095628195,5599.594743937379,69.0303350496229,2576.390964986947,56.88842536835715,9557.73537459884,64.3866910648552
Tamil Nadu,36093.425637341665,96.91238996628596,3469.2510736938984,90.75321900448162,68404.30590196623,96.20720171866581,21783.695365341166,26.49758137762151,4389.580825678226,23.16910961749461,23916.235281803874,25.81013996520309,18108.295132140018,95.80254900545484,2967.9461146906356,86.99757184935692,22981.627545398274,92.86202280746227
Maharashtra,113171.722309543,95.92747887149272,65272.093617776496,97.89927438236904,282002.5340716928,96.33638096711888,7816.498904150175,5.877621451210904,3755.1354346841576,7.164713044135752,15910.818719805777,5.703120208213741,4782.965619641236,68.89850273327353,2550.8297929991886,60.35180727846331,10275.139065336753,62.27698337038419
Puducherry,13743.737089269507,99.2,2.0,100.0,21.0,99.2,5.0,32.735442030984785,0.0,0.44844335775461697,8806.51435884521,31.227166385306226,4.0,96.44752697586047,,,2015.421169017405,94.00830173771415
Maharashtra,121318.24011564805,98.64742128718851,69690.9123572933,95.84392932181407,221952.34033381884,97.04101108007929,11156.403898038938,6.226544280481567,4126.4372467095645,5.531549892872835,9834.113612236475,5.690800834533262,3409.0038983239956,68.26698331447406,2828.6462765650285,54.976908625549775,6265.306476876562,66.42151674977026
Arunachal Pradesh,21.0,78.84854082511784,990.9017559451207,50.987580430826846,61035.56193969492,78.16125544057107,2271.3410283826065,3.772891975677086,0.0,0.0,4960.187249213151,3.958337572729584,4.0,46.98642810407515,,,1485.666315524376,49.03056941084922
Assam,56599.37990643499,80.90785310395502,2.0,82.88763027711765,21.0,81.59452540876786,4300.442548931186,7.966619342633751,418.16234967565526,10.743937820182856,5.0,8.122176064480003,909.7309149904968,40.034064994494045,0.0,37.37781331193462,2419.830599440166,39.73333603820325
Arunachal Pradesh,28408.36053038604,79.16239397322074,2.0,50.0,26982.470892102912,78.60421733447305,5.0,2.4182470159261733,294.21885075623675,0.4975029044395231,5.0,3.0487283137444794,4.0,47.49871856799123,,,271.9856365042632,49.86349489281603
Ladakh,22746.721825825283,92.37573513105603,2.0,79.07463234617799,21.0,91.73167238088398,1001.4771645744244,3.037012935972493,343.11600969589773,11.71627901903323,5830.452789661762,2.5,4.0,84.40044272251454,0.0,100.0,4.0,86.36498958556294
India,1691053.5292556158,91.24660462232853,508900.0,88.71854472665184,2172889.4443366225,89.87184978235314,143167.0,9.493832640517192,30464.00090500396,5.994657090181816,173731.0,7.181154790349987,91295.86911109235,66.57299077395122,15923.748376166639,54.157685741894646,110058.0,63.81930236719133
Gujarat,124279.06360030943,99.14064676411525,33156.38617003592,90.70745009079816,145585.898629994,95.65100516103708,4177.183992140057,3.6912296190313327,1371.8872929690413,2.715492910110719,3633.919754030442,4.656944685110439,2446.3226729383,79.63712710844642,1116.8804022960537,79.48422089786217,8886.666404702251,80.70295663757798
Ladakh,21.0,92.66938453496127,393.99455652671344,79.16700818477766,21.0,90.96403084240022,5.0,2.3,0.0,10.59579954500129,2416.1948065593874,2.5,4.0,84.19568953395732,0.0,96.74178612511798,6226.173065948823,87.07317798024538
Haryana,59171.25289576915,96.11926475824379,19993.463059759335,88.66111052373135,43500.7899905777,95.52333625767915,1694.169888627453,8.503468983890173,371.9449278526603,3.87287637472487,8951.458518323248,7.052368863283359,3208.343544344918,76.23291578202587,530.5307722547684,66.5705522395584,5095.392433180258,73.87427126920008
Delhi,55094.61213377227,85.74228733860498,12504.172667203638,54.13015367173929,100160.04282284106,80.25977718336318,7333.518445274897,8.035828510342299,18.0944416304244,11.41521485311031,6179.63212202274,7.889662319921826,1740.9280845488674,50.86537723150314,0.0,28.00681091864783,2686.283406932356,52.373434798557525
Telangana,114129.51952009813,93.6402298907474,30182.83633446481,93.04037553167379,63149.14184388276,93.33779258120482,2001.9575216650273,6.280210573939077,2023.3671965887638,5.287222797797902,3293.252890799837,4.29480756628851,3071.6803026028824,81.40155598026753,1141.5277979172379,85.14710294616364,4736.839508818921,83.88719279837801
Goa,29473.8867731701,98.76741306793096,2685.7850207782117,71.16167608014128,54650.11668587633,92.86187558431153,968.2792000754329,20.721420931427215,0.0,16.29052520162011,762.8500444745416,19.39685109128677,4.0,89.79139782996609,665.9156667351265,53.571734157497424,5007.6161962032975,86.51348518627726
Nagaland,21.0,83.07161331368907,1472.3827369973772,93.78763383777633,24543.1131860309,83.6338790198527,5.0,6.881141767974335,0.0,6.770298425389004,3302.578517217891,7.768328455662537,626.8723686862572,50.1978376529217,59.5066067664386,5.535456393780228,4.0,46.38970151266322
India,1707030.0,91.08950659611541,504359.98581914575,89.75632720551538,2198209.9980498655,91.43374009756634,143167.0,9.614906494426277,30413.82036237894,5.360468937939819,173731.0,8.416657744541636,93374.84009388842,67.58144014280366,16026.42447718975,50.756224018908476,109907.0569954264,62.72089310326411
Odisha,85689.47678050019,96.18728103937994,10565.468317123574,93.95238437366032,36073.969973291125,97.13699126836919,6957.340040007084,7.625977847640306,0.0,5.704959102722217,2808.4748012426403,8.193609464360337,2947.315630344204,77.81767062132619,158.47296273713266,77.27099623947073,4621.31295224718,76.0702466662109
Delhi,92378.89756840716,84.16986112869766,20680.956305567717,54.13696861447825,106683.21263220406,80.21909181559147,6888.858594250087,8.052923742128538,382.7876777532715,10.536769679980573,3556.2803325217387,8.174280734986091,1014.0826818383412,49.59344068900637,477.42914900300957,24.8971638793675,3781.719649613406,46.31982364232273
Jammu & Kashmir,59640.237398298916,94.5307959395537,5579.0530313126565,94.09284571735554,10179.891051983608,94.34005157210782,7196.495826955509,7.370336848916848,522.2717053233251,7.026809996410265,5.0,5.78819300987899,1789.1480177524065,52.603709361314,437.18823373552766,77.7232778099599,594.2682473416828,56.88869589960296
Haryana,32912.07616568419,95.57435420636149,2748.521119926476,91.59810601130049,43430.33622560151,95.49751048633277,1445.6438578449079,6.7583607140918796,376.1983352767025,4.149808066223995,5654.03681239859,8.249861513075167,3546.8073283403305,75.51338048450529,573.1677345845725,66.44351950822019,5887.7500030273895,69.5763533062468
Chandigarh,13416.768452198763,96.04916582799102,16066.312243927634,71.48294712309101,12014.134312720049,94.15269216767119,23.978117379453693,9.03929970749519,0.0,9.862010459554199,5.0,7.825739031673067,1247.172532706159,78.17656459121099,0.0,100.0,4.0,79.02591856740763
Arunachal Pradesh,21.0,79.03065175348226,5065.91880227482,50.32807135884434,21.0,78.37711630255106,37.09670749799628,2.398977888823596,940.9301861182711,0.0,5.0,2.5,67.44003323600273,48.32450069069731,,,1759.4678320765345,47.13242968522787
Jammu & Kashmir,21.0,95.72599747401019,2396.297514002522,92.77095547720887,21.0,94.49896747482363,501.14486940833564,6.985199566755918,269.40121188819023,7.640943211806711,5.0,7.774676297977546,607.5086372632225,49.59398925347073,0.0,76.12659789124366,1696.0391044322841,54.41000045423791
Odisha,21.0,97.01473831815588,314.29371828583817,94.4045568041691,73389.61903464346,97.42865766705522,2876.458315352659,7.907992172163581,0.0,6.035502244005624,5535.935413783083,8.112105582976405,4198.440512186378,78.96749603501743,177.30545581003642,77.90136101677318,3259.016358653265,76.15455025006293
Dadra and Nagar Haveli and Daman and Diu,21.0,99.1581057223331,7805.913110702898,100.0,21.0,98.93398018482107,3830.145480738698,6.075727088506265,117.38408608584146,3.995648913179841,5.0,4.665703495362248,1651.9371575728574,85.00917969170736,0.0,65.71111227973525,4.0,80.33729857785501
Uttar Pradesh,392111.49182482256,93.9123749684171,97620.44823119196,87.60771889080696,503210.2141682527,91.12863487297105,23452.2094507903,4.923390614882266,1954.0286889121217,2.8520123871986334,24958.243401199325,3.943893958410298,9662.863166590008,38.0,1172.120154908388,31.548484838461043,6235.751943375542,37.03678213554542
Telangana,71519.13143285483,94.85349359395991,31206.225320462792,94.36658309498726,65049.79090599861,94.17329674829193,5400.71196843336,6.7312121069867,1094.2161927581167,4.089103632601633,3872.770784953701,6.580337823988253,3632.7416256191373,83.15697987305217,649.5185553364671,86.89021105691133,1078.0455952880939,80.99794571320814
India,1707030.0,92.83796179381247,508900.0,90.16393187486396,2201280.1304676738,91.70429215542926,142946.9174882961,7.5616289280243505,30564.0,6.843509206778057,171805.8655108067,7.697579840399374,93551.82692154213,69.20553967018186,15916.92567455845,45.3965478365546,109548.70708125332,61.39190449078486
Andaman & Nicobar Islands,47424.876735883634,94.48853517760448,2.0,73.75226230061382,45264.51377477545,95.33925510616629,5.0,18.400523038081747,0.0,33.3,51.324381179807645,18.227009353602675,503.49413166737276,69.16162924994858,0.0,97.12112413684362,4.0,72.10012870491998
Delhi,93493.49016646818,84.29229275726246,4316.824154351272,54.75416424249332,99124.67319229484,81.13622514839375,4366.478457353917,9.115545060981718,808.0607577706895,9.886853017759766,5739.117759067715,8.366062834659736,4157.884501170054,51.38986453833979,386.0545577448754,23.76628653844526,2337.3002861593563,46.1077741998756
Ladakh,20982.373180355495,90.4313904310091,2.0,82.74164299734709,21.0,89.49818215942592,5.0,2.3,927.0066624956588,11.442521012021478,5.0,3.4144631472477323,728.6977555793126,88.34626651421146,274.397504832661,100.0,4.0,88.30019357822607
Mizoram,6270.447398360073,99.2,2.0,100.0,44763.00406079972,98.23904469081664,400.3449179439532,7.1650196233240555,0.0,28.95591808913264,2498.025265051359,5.213057670984008,1861.1821460608874,96.00506512516361,0.0,100.0,735.4654138107265,97.0
Assam,79375.85306872375,81.71629045186859,2.0,84.79246422649379,10474.646264614199,81.53780657001862,3692.5818169029626,8.522334933089065,780.667408638614,9.57687839433347,1886.782127039021,7.356449265438166,1161.5134989750045,38.15358714913726,45.84046427253304,35.55246124035242,4.0,41.922438304803194
Uttarakhand,32037.79385010789,96.18164843093416,4321.616445634735,94.20391356320128,67209.29590062583,97.06384280990348,5.0,7.542687432796565,269.3066102570709,5.28749051837888,4664.730380140509,7.657838757605879,896.5892159810282,38.0,384.3317045657256,52.8899920728797,941.5693374893649,40.997365503278964
Telangana,10873.187638355244,93.54363909508098,28206.982175134955,91.00636242549537,158416.15815735352,93.98317654262256,4470.527754721283,6.948588890352335,1795.0490474225621,4.160277758329375,8480.252489537728,6.279809592545588,4171.031464881777,80.34462425507893,53.565614126732385,84.01987698570244,4200.044182709813,84.53271437914445
Rajasthan,107201.94508335415,91.2534851589914,36557.5925222368,88.04544849683438,138384.07608698856,89.90535267761457,966.9146582968092,2.8563605484598815,1135.6909963965752,4.169554349776878,6642.9860256955235,2.5435931519756396,2093.9528702472785,62.08128568062587,604.4573199491497,43.938524555854336,4789.844192436075,60.53882444790129
Maharashtra,183362.01998139577,96.53266790889782,72692.04544501769,95.78616328298628,220046.6187848084,96.35903428225544,12265.896417540001,6.48651478985804,4101.980643747388,7.037882615172986,15687.180189870262,6.2846652743777645,3155.8421028063613,68.52513501528003,2540.0222989135277,55.45932834038338,8538.082972028713,67.49228879456024
Lakshadweep,21.0,95.79186014923906,,,29077.614264492695,95.025082769318,5.0,23.980004548521258,,,2424.5353533112657,24.089797971233907,4.0,81.18363848088805,,,4.0,84.28044858529584
Himachal Pradesh,21.0,98.99214317959186,16744.421754104325,96.97864792212565,17928.589601109416,99.2,1093.0393433466363,9.86793325302442,623.4952180559546,5.554942434248083,2805.621948673306,9.282171974215762,1139.2173466894626,78.07952583646714,612.3544937797029,81.96095727684806,4.0,76.51121511673922
Delhi,42617.74339085209,84.80977967578758,10012.958647117019,56.16761413100057,21.0,81.69686585419319,4265.25571913676,7.655620120210414,980.6134527378507,11.246687085651091,8430.450116436848,8.952541180488742,1855.7561169762157,49.16323098083972,0.0,29.945455173982744,4929.083849029172,50.24384069435379
Dadra and Nagar Haveli and Daman and Diu,21.0,98.7510282690003,2.0,100.0,38600.66867935639,98.82469568340719,5.0,5.8610129305888385,572.6587998094901,4.166532347796223,5.0,6.94877050199672,1851.3994188495622,83.03139703999369,155.43058931960445,61.83700463519195,224.49379210790417,84.31778199681102
Meghalaya,21884.191644472343,77.33352972302752,2.0,50.43638224680212,41784.96648459429,75.86921298951256,5.0,5.4058322469083855,0.0,3.0809404894249677,2855.3211473815077,5.8626471104453834,4.0,65.37510853567653,131.3124389708628,74.51533757611202,2742.5828575212795,67.36439111045445
Ladakh,21.0,91.90580779899139,2.0,82.27044301248856,21.0,91.0852623532456,5.0,2.3,0.0,10.827426929273896,3365.295976078087,2.5,4.0,87.56303798641324,0.0,96.98289308422159,533.2911077783543,85.95088701030924
Manipur,21.0,76.09562293473947,2.0,57.06215293974845,76212.82426033544,74.3,480.07143717632357,13.63249425542343,0.0,7.946238873843695,90.27955310462235,13.316145617175048,1050.646802911319,47.634324861987444,244.7970275646683,18.210066028097543,4.0,45.973108784962626
Karnataka,63697.48506041229,96.8602924310968,6037.762019231178,90.23969305576748,61645.97600523885,94.35880384096752,7911.082076091087,14.445357013661175,733.0147416594696,8.42013560493768,13586.60052918871,14.39711470544931,5253.25768284483,78.36932091467071,804.9508965758347,77.68597023394997,9785.673003328022,81.20722443930734
Arunachal Pradesh,3867.0436900470104,80.02480174396753,5878.2722893956125,50.0,3717.2101797752257,79.27529125883578,888.644726636582,2.3,0.0,0.0,5.0,2.619807938909775,4.0,46.34894941506872,,,4.0,46.6758882901587
Jammu & Kashmir,21.0,96.13106890534097,6175.101299872169,91.47890743497786,21.0,94.19212468860796,5.0,6.183111737006746,175.38868429563064,6.6659621965786755,5.0,7.10338972023403,4.0,53.292527396922196,0.0,77.2312709381772,4.0,52.26859698987401
Telangana,4799.140422908436,93.56721560850349,4939.056675539234,91.67506260303821,10923.454602765036,93.33840121229854,2746.791108785007,5.240186317130247,728.0963258651312,4.990367096897612,4021.799711328629,5.7733491253549,4213.214860745607,83.73263628639288,968.7251418442918,77.76268180111153,5400.15268621054,82.75797222805613
Sikkim,21.0,97.03908234866215,2.0,94.7359510360384,21.0,99.2,2403.6907655232117,8.782145019660268,0.0,5.5908310262279555,75.75273547833538,10.455438767604791,4.0,90.68558908343564,505.5509036457661,76.21436686623555,681.7637518419186,89.85480254813052
West Bengal,95201.18833788925,94.06595102800422,2.0,79.94431391625771,132036.93677910912,93.8871311019895,19066.22758651052,14.269476122176107,1755.7840116136722,14.165939881630765,14848.75516154118,14.078540231134136,7106.009334871214,74.63757524103313,1066.7056134376808,76.28640635824834,11293.213077116772,75.58113490799661
Jammu & Kashmir,23720.05121266849,95.68682909014463,2.0,96.1141120836356,37228.10157159268,96.11872588493168,1276.6088904989883,6.104535443399063,0.0,8.318810050524544,1719.3416538708457,6.917458275249484,4.0,54.09451201997554,201.567708325453,74.50083450923125,2495.5380997627494,50.039331840395846
Jammu & Kashmir,21.0,95.77841037161306,5323.243236170879,94.07100532289401,21.0,95.01683653771421,441.291878658864,5.710216426050014,710.3026439876165,5.933310469288083,5.0,7.110004965992005,4.0,53.57864921967955,0.0,79.604316532305,4.0,50.97406861851318
